canal_id,nombre_canal,categoria,provincia,ciudad,suscriptores,certeza,metodo_deteccion,indicadores_argentinidad,url,fecha_deteccion
UCFAiSCNaJnizLNIF1aSkQAQ,Gran Hermano Argentina,Entretenimiento,Argentina,Por determinar,1570000.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCFAiSCNaJnizLNIF1aSkQAQ,2025-06-18
UCxDteokWBemJvLI_I0VUGdA,Radio Con Vos 89.9,Entretenimiento,Buenos Aires,Por determinar,277000.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCxDteokWBemJvLI_I0VUGdA,2025-06-18
UCs1U5lRXvUJHn0CgXI6oXAw,Radio La Red AM 910,Educativo,Argentina,Por determinar,264000.0,95.0,explicit_country,menciona_argentino,https://youtube.com/channel/UCs1U5lRXvUJHn0CgXI6oXAw,2025-06-18
UCgcUYL6ODQniPuwD4N-Tlvg,Radio Nacional Argentina AM870,Entretenimiento,Argentina,Por determinar,28700.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCgcUYL6ODQniPuwD4N-Tlvg,2025-06-18
UCJozD5RVug7EZdTjqkGISYQ,Radio10,Entretenimiento,Misiones,Por determinar,143000.0,88.0,province_mention,provincia_Misiones,https://youtube.com/channel/UCJozD5RVug7EZdTjqkGISYQ,2025-06-18
UCakcB6z6gNOacpGm1m5pFsA,Glup!,Charlas/Podcast,CABA,Por determinar,1110.0,94.0,province_mention,provincia_CABA,https://youtube.com/channel/UCakcB6z6gNOacpGm1m5pFsA,2025-06-18
UCnpypNQhebDf0nUx-kP2cXg,URBAN985,Música,Argentina,Por determinar,3080.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCnpypNQhebDf0nUx-kP2cXg,2025-06-18
UCV_lV9IyBIL0zwbyFMrvleQ,viBra,Entretenimiento,Buenos Aires,Por determinar,2810.0,100.0,explicit_country,menciona_argentino,https://youtube.com/channel/UCV_lV9IyBIL0zwbyFMrvleQ,2025-06-18
UCC1kfsMJko54AqxtcFECt-A,Urbana Play 104.3 FM,Gaming,Mendoza,Por determinar,862000.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCC1kfsMJko54AqxtcFECt-A,2025-06-18
UCFgk2Q2mVO1BklRQhSv6p0w,C5N,Entretenimiento,Santa Fe,Por determinar,3080000.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCFgk2Q2mVO1BklRQhSv6p0w,2025-06-18
UCAlQ5f7mhnkfM6jjXeJDw7g,Rock And Pop,Música,Santa Fe,Por determinar,136000.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCAlQ5f7mhnkfM6jjXeJDw7g,2025-06-18
UCHc3el42hXKKhjs_1vzWk9A,Telefe,IRL/Vlogs,Santa Fe,Por determinar,7240000.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCHc3el42hXKKhjs_1vzWk9A,2025-06-18
UC8U-dF9XOQ96R8bOrm7nDaw,RADIO STREAM Deportes,Deportes,Argentina,Por determinar,1860.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UC8U-dF9XOQ96R8bOrm7nDaw,2025-06-18
UC3nHW2Ne0yyWvWYydhKZN8w,Asociación Padel Argentino,Entretenimiento,Argentina,Por determinar,8080.0,95.0,explicit_country,menciona_argentino,https://youtube.com/channel/UC3nHW2Ne0yyWvWYydhKZN8w,2025-06-18
UCeZr2n6b7HYNdJ7KxhnCumg,Gabi Casé,IRL/Vlogs,Buenos Aires,Por determinar,68100.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCeZr2n6b7HYNdJ7KxhnCumg,2025-06-18
UCEY6CPkHdTiWYkh2QymbcJQ,La 22 Media,IRL/Vlogs,Santa Fe,Por determinar,1560.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCEY6CPkHdTiWYkh2QymbcJQ,2025-06-18
UCUawq9LW_ivK_NAJCpAhyEg,Ministerio Rhema Argentina,Entretenimiento,Argentina,Por determinar,1190.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCUawq9LW_ivK_NAJCpAhyEg,2025-06-18
UCtTm1j1DhHIZr1_3zAlJHeA,Revuelto ,Música,Santa Fe,Por determinar,14500.0,100.0,explicit_country,menciona_argentino,https://youtube.com/channel/UCtTm1j1DhHIZr1_3zAlJHeA,2025-06-18
UC55axEKUQB8XD3E0a5HB2dQ,EzeeFlores3,Gaming,Buenos Aires,Por determinar,1840.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UC55axEKUQB8XD3E0a5HB2dQ,2025-06-18
UCrrkTIvz0SQZatixubCQ6AQ,Canal 10 de Junin - Junin Tv SA,IRL/Vlogs,Buenos Aires,Por determinar,6290.0,98.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCrrkTIvz0SQZatixubCQ6AQ,2025-06-18
UCATiCPBuMCXyEi7jxC08UFw,Federación Argentina de Pole Sport y Aéreos,Deportes,Argentina,Por determinar,1020.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCATiCPBuMCXyEi7jxC08UFw,2025-06-18
UCZh9mYac1vuM4MXWEBlsGZw,FP BEATS,Música,Argentina,Por determinar,5340.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCZh9mYac1vuM4MXWEBlsGZw,2025-06-18
UCikDGMtJQhNtz-7RZdtc6bw,SoyIgnaa,Gaming,Argentina,Por determinar,1130.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCikDGMtJQhNtz-7RZdtc6bw,2025-06-18
UCJQFPvUH5n4ee-UYuTPxjXg,Túnel 57 El Programa,Entretenimiento,Argentina,Por determinar,783.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCJQFPvUH5n4ee-UYuTPxjXg,2025-06-18
